Dish Name,Price,Url_of_the_food_Item
Espagnole Spaghetti,₹149,https://www.freshmenu.com/italian_classic_spaghetti_meatballs/product/13200
Spiced Chicken and Arrabiata Mac,₹149,https://www.freshmenu.com/continental_cheesy_peri_peri_chicken_spaghetti/product/14606
Chicken Spaghetti Al Forno,₹149,https://www.freshmenu.com/continental_espagnole_spaghetti/product/14493
Papalote-Mexican Grill,₹149,https://www.freshmenu.com/italian_spiced_chicken_and_arrabiata_mac/product/13601
Penne Arrabbiata,₹149,https://www.freshmenu.com/continental_chicken_spaghetti_al_forno/product/13047
Chicken Tikka Masala Thali,₹149,https://www.freshmenu.com/mexican_papalote_mexican_grill/product/13356
Butter Chicken Thali,₹149,https://www.freshmenu.com/continental_penne_arrabbiata/product/7136
Paneer Makhani Thali,₹149,https://www.freshmenu.com/indian_chicken_tikka_masala_thali/product/13386
Chargrilled Moroccan Cottage Cheese Superbowl,₹149,https://www.freshmenu.com/indian_butter_chicken_thali/product/13385
Ultimate Burrito Superbowl,₹149,https://www.freshmenu.com/indian_paneer_makhani_thali/product/13388
Stir Fried Chilli Paneer Superbowl,₹149,https://www.freshmenu.com/mexican_chargrilled_moroccan_cottage_cheese_superbowl/product/11898
Grilled BBQ Chicken Superbowl,₹149,https://www.freshmenu.com/continental_ultimate_burrito_superbowl/product/9602
Mexican Burrito Superbowl,₹149,https://www.freshmenu.com/pan_asian_stir_fried_chilli_paneer_superbowl/product/7684
Teriyaki Chicken Superbowl,₹149,https://www.freshmenu.com/mexican_grilled_bbq_chicken_superbowl/product/13054
Smoke that Superbowl,₹149,https://www.freshmenu.com/mexican_mexican_burrito_superbowl/product/11148
Summer Glow Superbowl,₹149,https://www.freshmenu.com/pan_asian_teriyaki_chicken_superbowl/product/8128
Soboro Don Superbowl,₹149,https://www.freshmenu.com/pan_asian_smoke_that_superbowl/product/12096
Chicken Cafe De Paris Superbowl,₹149,https://www.freshmenu.com/continental_summer_glow_superbowl/product/13041
Chicken Francese Superbowl,₹149,https://www.freshmenu.com/pan_asian_soboro_don_superbowl/product/12197
Schezwan Chicken Superbowl,₹149,https://www.freshmenu.com/continental_chicken_cafe_de_paris_superbowl/product/13580
Paneer Butter Masala Superbowl,₹149,https://www.freshmenu.com/continental_chicken_francese_superbowl/product/13056
Creamy Peri Peri Chicken Superbowl,₹149,https://www.freshmenu.com/asian_schezwan_chicken_superbowl/product/10407
Honey Mustard Chicken Superbowl,₹149,https://www.freshmenu.com/indian_paneer_butter_masala_superbowl/product/12738
Paneer Tikka Supergrain Bowl,₹149,https://www.freshmenu.com/mexican_creamy_peri_peri_chicken_superbowl/product/12733
Coqfighter Chicken Superbowl,₹149,https://www.freshmenu.com/continental_honey_mustard_chicken_superbowl/product/12732
Crispy Fried Chicken Superbowl,₹149,https://www.freshmenu.com/indian_paneer_tikka_supergrain_bowl/product/13070
Peri Peri Chicken Superbowl,₹149,https://www.freshmenu.com/asian_coqfighter_chicken_superbowl/product/13574
Signature Roast Chicken Superbowl,₹149,https://www.freshmenu.com/mexican_crispy_fried_chicken_superbowl/product/13578
Sofrito Tofu Superbowl,₹149,https://www.freshmenu.com/continental_peri_peri_chicken_superbowl/product/12991
Rooster Chicken Superbowl,₹149,https://www.freshmenu.com/continental_signature_roast_chicken_superbowl/product/14670
Strip Steak Cheesey Mushroom SuperBowl,₹149,https://www.freshmenu.com/mexican_sofrito_tofu_superbowl/product/14672
